Feature ID	Taxon	Confidence
1ea58a8dc13afaf9743b8da350bd88b0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylopumilus_A;s__Methylopumilus_A turicensis	0.9563464208681786
a060410a697a42dc5fe60244cc161b30	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium altum	0.9658210268027329
1acd90719e4878f84f49969b41380e24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.9962673344404123
469b27e8d4cd09bc4d9f8e651229f9ed	d__Bacteria	0.9942137331472007
8eca25c7eb78c91683df08f6e0d1f68f	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__JAIOPN01;s__JAIOPN01 sp021413865	0.8803543978448377
ad880ebaa9b49844b997b4b293c30910	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium	0.9999351816616172
a9f49eb933b1745bf3e9abf760345c95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiodictyon;s__Thiodictyon syntrophicum	0.7839119824996096
9480ce38160cd9b88a98961da79383b2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp030653695	0.9288160993561975
7031ad77f11b8494e07ad3dec4cdef9f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.9346943926745539
69a76d15f64c8d8d8afb374cb58ca66f	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae	0.9999998412660865
d776e6142b09efb710d4f62d60344f3b	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Lamprocystis;s__Lamprocystis purpurea	0.9036052496305634
9f23e4e6349834d0b859940f98c18835	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas taiwanensis	0.98969623445661
590284db43685c7efb2bdef3fa957e25	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12	0.723124474773692
447c1da6c7e5e1424da3068c9e7e16b5	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.9999769605123553
4fc816fbe10c83bc9bdcf2fbe1c8b14f	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A somerae	0.8818146307472022
2bd5c91b92313612add517d17fce582e	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp001676025	0.7853128784889304
94ece1e04f147dcc52a26edaeb5f1222	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.999993653103058
56048441458d71eebf7d299a4b126a24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp020991455	0.8703892447899486
ef82f58f558f1c2205a3d34b43943c30	d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.9696640450065237
2ea2526fdd56648599f0b1a275999c08	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Luteolibacter;s__Luteolibacter sp903908495	0.8918226596012859
72535aba533c05f330bac01901e73d74	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.9984782009319745
e68f76e08cd428250a7a204651b33e45	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_B;s__Rhodoferax_B sp027923965	0.8023533852902384
ec72488c499d212ad1f303cef6e82d86	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.9945116564958975
d6bf1491d6a2f572ae685bf652e74fb2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E graminis	0.9699384969726652
12fc3781c2b5c989072948cef143e1f6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.9982902408679795
b688be0de87218923d9e643b70fabeb6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.9955391943859662
d5f56dfa96ebd83740e24e14ecf20dca	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952	0.9981295927624838
faa4df5a305b91749036cb6a69118366	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aurantimicrobium;s__Aurantimicrobium sp003325955	0.9845661325699933
3c3f94442f1e28509c48391bf6f85b08	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas glacialis	0.7464358399657021
f08ca301eef6cd6506be3e3924c9fa61	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.9800072366294827
e52e36c0d4bf6250eeef20fdcf242c07	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae	0.9973162108188164
6ffbb723f7042e1b3f1ffca8379c1d2e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__JAQVCM01;s__JAQVCM01 sp945897805	0.9658127191366535
6f95e025068f4eda839a9d3c907a08b1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Emticicia;s__Emticicia aquatilis	0.9948335257801656
ec706f4795bdbdff3e234bef9b179014	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp030653695	0.9315414161209769
b268a9fa916da1edc56d67764f481a1d	d__Bacteria	0.9729981389990741
64fb0edfbe5c7b0e638415f7d1a8f305	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	0.7430732293424349
dd5983554ae8faa65d2d68b413e17302	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.9998139579150326
687353f36c57ce117b9332db89d7ba4f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.7534885990038673
bf627c2deeb423f6a2f338c9d9ba712c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.9997213842601037
5a172a65dc5d29e09f136c6902a19083	d__Bacteria	0.9033941744754719
77f89746e5d2ab36b52607efc10693dc	d__Bacteria	0.9931066897733876
5cee3e09f06ccc25f9d87bb48569f7bb	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2103;g__C7867-001;s__C7867-001 sp027459545	0.9752150108094275
